Name,CAS,PFC Class
Ethyl 3-ethoxypropionate,763-69-9,D
Ethyl acetoacetate,141-97-9,D
Ethyl isopropyl ether,625-54-7,D
Ethyl propenyl ether,928-55-2,D
Ethyl vinyl ether,109-92-2,D
Ethylbenzene,100-41-4,D
Furan,110-00-9,B
Furfural,98-01-1,D
Hexyl Glycidyl Ether,5926-90-9,D
Isoamyl alcohol,123-51-3,B
Isoamyl benzyl ether,122-73-6,D
Isoamyl ether,544-01-4,D
Isobutyl vinyl ether,109-53-5,B
Isobutyraldehyde,78-84-2,B
Isophorone,78-59-1,D
Isopropyl ether,108-20-3,A
Isopropyl propyl ether,627-08-7,D
Isopropyl vinyl ether,926-65-8,D
Isovaleraldehyde,590-86-3,D
Limonene,5989-27-5,D
m-Diethoxybenzene,2049-73-2,D
m-Methylphenetole,621-32-9,D
m-Nitrophenetole,621-52-3,D
"Methoxy-1,3,5,7-cyclooctatetraene",7176-89-8,D
Methyl acetylene,74-99-7,B
Methyl acrylate,96-33-3,C
Methyl cyclopentane,96-37-7,B
Methyl isobutyl ketone,108-10-1,B
Methyl methacrylate,80-62-6,C
Methyl vinyl ether,107-25-5,D
n-Amyl ether,693-65-2,D
n-Butyl phenyl ether,1126-79-0,D
n-Butyl vinyl ether,111-34-2,D
n-Hexyl ether,112-58-3,D
o-Bromophenetole,583-19-7,D
o-Chloroanisole,766-51-8,D
o-Diethoxybenzene,2050-46-6,D
o-Ethoxyphenyl isocyanate,5395-71-1,D
o-Methyl anisole,578-58-5,D
p-Bromophenetole,588-96-5,D
p-Chloroanisole,623-12-1,D
p-Chlorophenetole,622-61-7,D
p-Diethoxybenzene,122-95-2,D
p-Ethoxyacetophenone,1676-63-7,D
p-Iodophenetole,699-08-1,D
Phenetole,103-73-1,D
Phenoxyacetyl chloride,701-99-5,D
Phenyl propyl ether,622-85-5,D
Potassium amide,17242-52-3,A
Potassium Metal,9/7/7440,A
Propanal,123-38-6,D
Sodium,7440-23-5,D
Sodium amide,7782-92-5,A
Sodium arachidonate,6610-25-9,D
Sodium ethoxyacetylide,73506-39-5,D
Styrene,100-42-5,C
t-Butyl ether,6163-66-2,B
t-Butyl ethyl ether,637-92-3,B
t-Butyl methyl ether,1634-04-4,D
Tetraethylene glycol dimethyl ether,143-24-8,D
Tetrafluoroethylene,116-14-3,A
Tetrahydrofuran,109-99-9,B
Tetrahydronaphthalene,119-64-2,B
Tetrahydropyran,142-68-7,D
Tridecanal,10486-19-8,D
Triethylene glycol diacetate,111-21-7,D
Triethylene glycol dipropionate,141-34-4,D
Vinyl acetate,108-05-4,C
Vinyl acetylene,689-97-4,C
Vinyl chloride (Chloroethylene),75-01-4,C
Vinyl pyridine,100-69-6,C
Vinylene carbonate,872-36-6,D
Vinylidene chloride,75-35-4,"A, C"
"1,1-Difluoroethylene",75-38-7,"C, D"
"4,4'-Diaminodiphenyl Ether",101-80-4,A
4-Bromophenyl Phenyl Ether,101-55-3,D
4-Chlorophenyl Phenyl Ether,7005-72-3,D
Acetaldehyde Oxime,107-29-9,"B, D"
Alcohol C-12 C-16 Poly (1-6) Ethoxylate,68551-12-2,D
Aldicarb Oxime,1646-75-9,B
Bis(2-chloro-1-methylethyl)ether,108-60-1,"B, D"
Bisphenol A Diglycidyl Ether,1675-54-3,D
Butyl Methyl Ether,628-28-4,D
Chloromethyl Ethyl Ether,3188-13-4,D
o-Cresyl Glycidyl Ether,26447-14-3,"B, D"
Cyclohexanone Oxime,100-64-1,D
Diallyl Phthalate,131-17-9,D
Diethylene Glycol Dibutyl Ether,112-73-2,"B,D"
Diethylene Glycol Monoethyl Ether,111-90-0,"B,D"
Diethylene Glycol Monomethyl Ether,111-77-3,"B,D"
Diethylene Glycol N-hexyl Ether,112-59-4,"B,D"
Diglycidyl Ether,7/5/2238,D
Di-n-octyl Ether,629-82-3,D
Dioxolane,646-06-0,B
Ethyl Acetate,141-78-6,D
Ethyl Methyl Ether,540-67-0,D
Ethyl Propyl Ether,628-32-0,D
Ethylene,74-85-1,D
Ethylene Glycol Dibutyl Ether,112-48-1,D
Ethylene Glycol Isopropyl Ether,109-59-1,D
Ethylene Glycol Phenyl Ether,122-99-6,D
Ethylene Glycol Propyl Ether,2807-30-9,D
"Ethylene, Refrigerated Liquid (Cryogenic Liquid)",74-85-1,"B, D"
"2,3,6,7,10,11-Hexabutoxytriphenylene",70351-85-8,D
